judet,x,y
Alba,-124.0,32.0
Arad,-278.0,49.0
Arges,-14.0,-78.0
Bacau,136.0,53.0
Bihor,-241.0,115.0
Bistrita - Nasaud,-51.0,156.0
Botosani,130.0,230.0
Braila,215.0,-102.0
Brasov,2.0,-15.0
Buzau,131.0,-54.0
Calarasi,152.0,-185.0
Caras - Severin,-256.0,-96.0
Cluj,-135.0,84.0
Constanta,267.0,-204.0
Covasna,80.0,-0.0
Dambovita,40.0,-126.0
Dolj,-126.0,-214.0
Galati,230.0,-10.0
Giurgiu,83.0,-206.0
Gorj,-144.0,-117.0
Harghita,36.0,67.0
Hunedoara,-170.0,-37.0
Ialomita,161.0,-140.0
Iasi,174.0,157.0
Ilfov,94.0,-154.0
Maramures,-75.0,209.0
Mehedinti,-197.0,-169.0
Mures,-33.0,81.0
Neamt,102.0,131.0
Olt,-44.0,-198.0
Prahova,77.0,-87.0
Salaj,-161.0,156.0
Satu Mare,-187.0,199.0
Sibiu,-73.0,-25.0
Suceava,39.0,199.0
Teleorman,9.0,-243.0
Timis,-324.0,-40.0
Tulcea,306.0,-103.0
Valcea,-69.0,-72.0
Vaslui,227.0,67.0
Vrancea,151.0,-10.0
